Go.	Va !
Come on.	Allez !
Come on.	Viens !
Come on.	Venez !
Drop it!	Laisse tomber !
Drop it!	Laissez tomber !
Drop it!	Laisse-le tomber !
Drop it!	Laissez-le tomber !
Get Tom.	Va chercher Tom.
Get out!	Sortez !
Get out!	Sors !
Get out!	Sortez !
Get out.	Sors.
Get out.	Casse-toi.
Go away!	Dégage !
Go away!	Pars !
Go away.	Va te faire foutre !
Go away.	Pars !
Go away.	Dégage !
Go away.	Fous le camp !
Go away.	Pars d'ici.
Go away.	Va t'en !
Go away.	Disparais !
Go away.	Allez-vous en !
Go home.	Rentrez à la maison.
Go home.	Rentre à la maison.
Go home.	Rentre chez toi.
Go home.	Rentrez chez vous.
Go slow.	Va doucement !
Go slow.	Allez doucement !
Goodbye!	Adieu !
Goodbye!	À la revoyure.
Hang on!	Attends un peu !
Hang on!	Attendez un peu !
Hang on.	Tiens bon !
Hang on.	Tenez bon !
He quit.	Il laissa tomber.
He quit.	Il a laissé tomber.
He runs.	Il court.
Help me!	Aide-moi !
Help me.	Aide-moi.
Help me.	Aidez-moi.
Help us.	Aidez-nous !
Help us.	Aide-nous !
Hold it!	Ne bouge plus !
Hold on.	Ne quittez pas.
Hug Tom.	Fais un câlin à Tom.
I agree.	Je suis du même avis.
I cried.	J'ai pleuré.
I dozed.	Je me suis assoupi.
I dozed.	Je me suis assoupie.
I drive.	Je conduis.
I smoke.	Je fume.
I snore.	Je ronfle.
I stink.	Je pue.
I stood.	Je me suis tenu debout.
I stood.	Je me suis tenue debout.
I swore.	J’ai promis.
I swore.	J’ai juré.
I tried.	J'essayai.
I tried.	J'ai essayé.
I tried.	J'ai tenté.
I waved.	J’ai fait signe.
I'll go.	J'irai.
I'm Tom.	Je suis Tom.
I'm fat.	Je suis gras.
I'm fat.	Je suis gros.
I'm fit.	Je suis en forme.
I'm hit!	Je suis touché !
I'm hit!	Je suis touchée !
I'm ill.	Je suis malade.
I'm sad.	Je suis triste.
I'm shy.	Je suis timide.
I'm wet.	Je suis mouillé.
I'm wet.	Je suis mouillée.
It's me!	C'est bibi !
Join us.	Joignez-vous.
Join us.	Joignez-vous à nous.
Keep it.	Garde-le !
Keep it.	Gardez-le !
Kiss me.	Embrasse-moi.
Kiss me.	Embrassez-moi.
Me, too.	Moi aussi.
Open up.	Ouvre-moi !
Open up.	Ouvre.
Perfect!	Parfait !
See you.	À plus.
Show me.	Montre-moi !
Show me.	Montrez-moi !
Shut up!	Taisez-vous !
Shut up!	Ferme-la !
Shut up!	Tais-toi !
Shut up!	Ferme-la !
Shut up!	La ferme !
So long.	À plus tard !
Take it.	Prends-le !
Take it.	Prenez-le !
Take it.	Prends-le !
Take it.	Prenez-le !
Tell me.	Dis-moi !
Tell me.	Dites-moi !
Tom won.	Tom a gagné.
Wake up!	Réveille-toi !
Wake up!	Réveille-toi !
Wake up!	Réveillez-vous !
Wake up.	Réveille-toi !
Wake up.	Réveillez-vous !
Wash up.	Lave-toi !
Wash up.	Lavez-vous !
We know.	Nous savons.
We lost.	Nous perdîmes.
We lost.	Nous avons perdu.
We lost.	Nous fûmes battus.
We lost.	Nous fûmes battues.
We lost.	Nous fûmes défaits.
We lost.	Nous fûmes défaites.
We lost.	Nous avons été défaits.
We lost.	Nous avons été défaites.
We lost.	Nous avons été battus.
We lost.	Nous avons été battues.
Welcome.	Bienvenue !
Who won?	Qui a gagné ?
Who won?	Qui l'a emporté ?
You run.	Tu cours.
Am I fat?	Suis-je gros ?
Am I fat?	Suis-je grosse ?
Ask them.	Demande-leur.
Ask them.	Demandez-leur.
Back off!	Recule !
Back off!	Reculez.
Back off.	Recule !
Back off.	Reculez.
Back off.	Retire-toi !
Back off.	Retirez-vous.
Be a man.	Sois un homme !
Be a man.	Soyez un homme !
Be still.	Sois calme !
Be still.	Soyez calme !
Be still.	Soyez calmes !
Beats me.	Aucune idée.
Beats me.	J'en sais foutre rien.
Call Tom.	Appelle Tom.
Call Tom.	Appelez Tom.
Cheer up!	Courage !
Cool off!	Détends-toi !
Cuff him.	Menottez-le.
Drive on.	Avance !
Drive on.	Avancez !
Drive on.	Continue à rouler !
Drive on.	Continuez à rouler !
Find Tom.	Trouve Tom.
Find Tom.	Trouvez Tom.
Fix this.	Réparez ceci.
Fix this.	Répare ça.
Get down!	Lâche-toi !
Get down.	Descends !
Get down.	Descendez !
Get down.	Lâche-toi !
Get down.	Lâchez-vous !
Get lost!	Va voir ailleurs si j'y suis !
Get lost!	Dégage !
Get lost!	Va au diable !
Get real!	Sois réaliste !
Go ahead.	Vas-y.
Go ahead.	Poursuis !
Go ahead.	Passe devant !
